model_name,collection_name,category_name,child_name,property_name,date_string,value,unit_name,interval_id,period_value
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,Units,2050,1326231.0,-,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,Installed Capacity,2050,5400267.05466487,kW,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,Charging,2050,5995582.869301535,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,Deferred Load,2050,0.0,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,Discharging,2050,3413234.6168388836,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,Discharge Price,2050,19.85368693019241,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,Charge Cost,2050,990858.2859162905,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,Discharge Revenue,2050,677652.9150201438,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT01 Home Charging Residential,UoS Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,Units,2050,750869.0,-,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,Installed Capacity,2050,3104367.87646684,kW,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,Charging,2050,6189680.583410734,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,Deferred Load,2050,0.0,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,Discharging,2050,4435277.19255237,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,Discharge Price,2050,6.628097925578855,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,Charge Cost,2050,171723.0280644135,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,Discharge Revenue,2050,293974.5155932358,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT02 Home Charging Residential,UoS Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,Units,2050,1610159.0,-,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,Installed Capacity,2050,6657241.91285818,kW,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,Charging,2050,7346871.819205897,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,Deferred Load,2050,0.0,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,Discharging,2050,4192945.2006469886,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,Discharge Price,2050,19.742151607018574,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,Charge Cost,2050,1208430.2578030226,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,Discharge Revenue,2050,827777.5983109376,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,AT03 Home Charging Residential,UoS Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,BE01 Home Charging Residential,Units,2050,1041458.0,-,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,BE01 Home Charging Residential,Installed Capacity,2050,4177832.12585036,kW,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,BE01 Home Charging Residential,Charging,2050,3469544.6720001916,MWh,1,1
TJ Dispatch_Future_Nuclear+,Charging Station,Residential,BE01 Home Charging Residential,Deferred Load,2050,0.0,MWh,1,1
