child_name,value,category_name,unit_name,collection_name,property_name,model_name,date_string,Country,interval_id
AT01 e_kerosene h2,823.6450779968,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,AT,1
AT02 e_kerosene h2,466.32141109699995,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,AT,1
BG01 e_kerosene h2,1049.2968359742,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,BG,1
BG02 e_kerosene h2,1056.7784791602,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,BG,1
CZ01 e_kerosene h2,2036.4251357151998,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,CZ,1
CZ02 e_kerosene h2,2227.7175743758,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,CZ,1
DE01 e_kerosene h2,2175.7477975098,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DE,1
DE02 e_kerosene h2,1619.1890006305998,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DE,1
DE03 e_kerosene h2,2910.9885738333996,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DE,1
DE04 e_kerosene h2,1011.0995942875999,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DE,1
DE05 e_kerosene h2,1680.2107304672,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DE,1
DE06 e_kerosene h2,1957.6940669827998,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DE,1
DE07 e_kerosene h2,2122.7305122638,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DE,1
DKE1 e_kerosene h2,1762.6517455455999,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DK,1
DKW1 e_kerosene h2,2067.0450751171998,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,DK,1
EE00 e_kerosene h2,219.4058996776,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,EE,1
ES01 e_kerosene h2,7405.200296683999,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,ES,1
ES02 e_kerosene h2,7647.760737151999,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,ES,1
ES03 e_kerosene h2,8293.3617519188,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,ES,1
ES04 e_kerosene h2,3158.82638152,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,ES,1
ES05 e_kerosene h2,5593.989307112,e_kerosene h2,MW,Gas Plants,Installed Capacity,TJ Dispatch_Future_Nuclear+,2050,ES,1
