model_name,collection_name,category_name,child_name,property_name,date_string,value,unit_name,interval_id,period_value
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,AT03 SMR,Production,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,AT03 SMR,Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,AT03 SMR,Energy Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,AT03 SMR,SRMC,2050,166.7160000000003,€/MWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,BE01 SMR,Production,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,BE01 SMR,Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,BE01 SMR,Energy Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,BE01 SMR,SRMC,2050,166.7160000000003,€/MWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,BG01 SMR,Production,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,BG01 SMR,Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,BG01 SMR,Energy Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,BG01 SMR,SRMC,2050,166.7160000000003,€/MWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,CH00 SMR,Production,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,CH00 SMR,Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,CH00 SMR,Energy Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,CH00 SMR,SRMC,2050,166.7160000000003,€/MWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,CZ01 SMR,Production,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,CZ01 SMR,Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,CZ01 SMR,Energy Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,CZ01 SMR,SRMC,2050,166.7160000000003,€/MWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,DE01 SMR,Production,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,DE01 SMR,Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,DE01 SMR,Energy Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,DE01 SMR,SRMC,2050,166.7160000000003,€/MWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,DE02 SMR,Production,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,DE02 SMR,Consumption,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Gas Plant,SMR,DE02 SMR,Energy Consumption,2050,0.0,GWh,1,1
