model_name,collection_name,category_name,child_name,property_name,date_string,value,unit_name,interval_id,period_value,Country
TJ Dispatch_Future_Nuclear+,Electrolyser,H2 Imports,DZ00,Installed Capacity,2050,5872.59277603,MW,1.0,1.0,DZ
TJ Dispatch_Future_Nuclear+,Electrolyser,H2 Imports,MA00,Installed Capacity,2050,5771.42857143,MW,1.0,1.0,MA
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,AL00Z2MK,Installed Capacity,2050,853.62380735,MW,1.0,1.0,AL
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,AT03Z2MK,Installed Capacity,2050,3148.19786843,MW,1.0,1.0,AT
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,BE03Z2MK,Installed Capacity,2050,5037.08580911,MW,1.0,1.0,BE
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,BG01Z2MK,Installed Capacity,2050,4883.37621007,MW,1.0,1.0,BG
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,BG02Z2MK,Installed Capacity,2050,2445.50062784,MW,1.0,1.0,BG
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,CY00Z2MK,Installed Capacity,2050,78.66110422,MW,1.0,1.0,CY
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,DE03Z2MK,Installed Capacity,2050,4111.99117214,MW,1.0,1.0,DE
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,DE04Z2MK,Installed Capacity,2050,6110.56482307,MW,1.0,1.0,DE
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,DKE1Z2MK,Installed Capacity,2050,1746.87321598,MW,1.0,1.0,DK
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,DKW1Z2MK,Installed Capacity,2050,1891.87039795,MW,1.0,1.0,DK
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,EE00Z2MK,Installed Capacity,2050,1534.87544542,MW,1.0,1.0,EE
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,ES01Z2MK,Installed Capacity,2050,7244.36395439,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,ES02Z2MK,Installed Capacity,2050,2119.49820128,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,ES03Z2MK,Installed Capacity,2050,8812.99551308,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,ES04Z2MK,Installed Capacity,2050,10273.44630187,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,ES07Z2MK,Installed Capacity,2050,173.75415505,MW,1.0,1.0,ES
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,ES08Z2MK,Installed Capacity,2050,141.07178138,MW,1.0,1.0,ES
