model_name,collection_name,category_name,child_name,property_name,date_string,value,unit_name,interval_id,period_value
TJ Dispatch_Future_Nuclear+,Node,Residential,AL00 Residential,Load,2050,1361.0649003362296,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AL00 Residential,Native Load,2050,1331.6820722762006,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AL00 Residential,Imports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AL00 Residential,Exports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AL00 Residential,Net Injection,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AL00 Residential,Unserved Energy,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AL00 Residential,Price,2050,157.8156523221267,$/MWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AL00 Residential,Peak Load,2050,278.4951801,MW,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT01 Residential,Load,2050,16671.230100867306,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT01 Residential,Native Load,2050,10645.357164136214,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT01 Residential,Imports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT01 Residential,Exports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT01 Residential,Net Injection,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT01 Residential,Unserved Energy,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT01 Residential,Price,2050,175.21587874113897,$/MWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT01 Residential,Peak Load,2050,2567.19546096,MW,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT02 Residential,Load,2050,13198.053481864874,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT02 Residential,Native Load,2050,6031.615682390819,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT02 Residential,Imports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT02 Residential,Exports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT02 Residential,Net Injection,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT02 Residential,Unserved Energy,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT02 Residential,Price,2050,81.56194220628667,$/MWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT02 Residential,Peak Load,2050,1453.46368655,MW,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT03 Residential,Load,2050,20284.51181786348,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT03 Residential,Native Load,2050,12924.385528160487,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT03 Residential,Imports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT03 Residential,Exports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT03 Residential,Net Injection,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT03 Residential,Unserved Energy,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT03 Residential,Price,2050,175.30949556906012,$/MWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,AT03 Residential,Peak Load,2050,3116.79761909,MW,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BA00 Residential,Load,2050,1684.045774684931,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BA00 Residential,Native Load,2050,1659.2822965639612,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BA00 Residential,Imports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BA00 Residential,Exports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BA00 Residential,Net Injection,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BA00 Residential,Unserved Energy,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BA00 Residential,Price,2050,242.4823567008263,$/MWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BA00 Residential,Peak Load,2050,286.25057455,MW,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE01 Residential,Load,2050,9903.412583560914,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE01 Residential,Native Load,2050,6050.912274149902,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE01 Residential,Imports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE01 Residential,Exports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE01 Residential,Net Injection,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE01 Residential,Unserved Energy,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE01 Residential,Price,2050,258.83152991356815,$/MWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE01 Residential,Peak Load,2050,1505.85308204,MW,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE02 Residential,Load,2050,24551.60762876396,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE02 Residential,Native Load,2050,13319.90917996251,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE02 Residential,Imports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE02 Residential,Exports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE02 Residential,Net Injection,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE02 Residential,Unserved Energy,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE02 Residential,Price,2050,246.7144815513508,$/MWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE02 Residential,Peak Load,2050,3314.84334633,MW,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE03 Residential,Load,2050,12902.314630911858,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE03 Residential,Native Load,2050,6176.262377274444,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE03 Residential,Imports,2050,0.0,GWh,1,1
TJ Dispatch_Future_Nuclear+,Node,Residential,BE03 Residential,Exports,2050,0.0,GWh,1,1
