model_name,collection_name,category_name,child_name,property_name,date_string,value,unit_name,interval_id,period_value
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Units,2050,1326231.0,-,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Installed Capacity,2050,102119787.0,kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Distance,2050,15020894155.682343,km,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Energy Consumption,2050,2102925.1817955254,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,SoC,2050,50.0,%,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Charging,2050,5695803.725836464,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Discharging,2050,3592878.544040931,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Losses,2050,0.0,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Charge Price,2050,16.5264713626037,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Discharge Price,2050,19.85368693019243,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Charge Cost,2050,941315.3716204764,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Discharge Revenue,2050,713318.857915941,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,UoS Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,VO&M Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,FO&M Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Charge Efficiency,2050,1.0,%,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT01 Home Charging,Discharge Efficiency,2050,1.0,%,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Units,2050,750869.0,-,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Installed Capacity,2050,57816913.0,kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Distance,2050,8653455142.675274,km,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Energy Consumption,2050,1211483.7199745434,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,SoC,2050,50.0,%,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Charging,2050,5880196.554240198,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Discharging,2050,4668712.834265651,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Losses,2050,0.0,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Charge Price,2050,2.774343938274561,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Discharge Price,2050,6.628097925578864,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Charge Cost,2050,163136.87666119277,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Discharge Revenue,2050,309446.8585191956,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,UoS Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,VO&M Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,FO&M Cost,2050,0.0,$000,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Charge Efficiency,2050,1.0,%,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT02 Home Charging,Discharge Efficiency,2050,1.0,%,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Units,2050,1610159.0,-,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Installed Capacity,2050,123982243.0,kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Distance,2050,18327869294.634155,km,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Energy Consumption,2050,2565901.7012487804,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,SoC,2050,50.0,%,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Charging,2050,6979528.228245592,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Discharging,2050,4413626.5269968305,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Losses,2050,0.0,MWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Charge Price,2050,16.448228409865475,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Discharge Price,2050,19.742151607018567,c/kWh,1,1
TJ Dispatch_Future_Nuclear+,Vehicle,Home Charging,AT03 Home Charging,Charge Cost,2050,1148008.744912871,$000,1,1
